Date,Description,Amount,Transaction Type,Category,Account Name
03-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
03-02-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
03-03-2018,Grocery Store,23.74,debit,Groceries,Silver Card
03-04-2018,Grocery Store,10.69,debit,Groceries,Platinum Card
03-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
03-04-2018,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card
03-05-2018,Starbucks,3,debit,Coffee Shops,Platinum Card
03-05-2018,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card
03-05-2018,Credit Card Payment,761.59,debit,Credit Card Payment,Checking
03-07-2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
03-08-2018,BP,34.9,debit,Gas & Fuel,Platinum Card
03-08-2018,Gas Company,52,debit,Utilities,Checking
03-09-2018,Grocery Store,20.72,debit,Groceries,Platinum Card
03-09-2018,Grocery Store,5.09,debit,Groceries,Platinum Card
03-09-2018,Spotify,10.69,debit,Music,Platinum Card
03-12-2018,Grocery Store,19.35,debit,Groceries,Platinum Card
03-12-2018,Phone Company,89.52,debit,Mobile Phone,Checking
03/13/2018,Amazon,45.75,debit,Shopping,Platinum Card
03/14/2018,Grocery Store,22.5,debit,Groceries,Platinum Card
03/14/2018,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card
03/15/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
03/15/2018,Power Company,60,debit,Utilities,Checking
03/16/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
03/17/2018,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card
03/17/2018,Pizza Place,23.34,debit,Fast Food,Platinum Card
03/19/2018,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card
03/19/2018,City Water Charges,35,debit,Utilities,Checking
03/20/2018,Amazon,14.97,debit,Shopping,Platinum Card
03/22/2018,BP,30.55,debit,Gas & Fuel,Silver Card
03/23/2018,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card
03/23/2018,Credit Card Payment,559.91,debit,Credit Card Payment,Checking
03/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card
03/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
